,Company,Year,Rate,Word,Pair,Tri
0,ladbrokes,2017,1,"{'app': 52, 'ladbrokes': 22, 'update': 20, 'cash': 18, 'ca': 17, 'games': 15, 'bet': 13, 'account': 12, 'crashes': 11, 'use': 11, 'even': 10, 'scores': 10, 'time': 9, 'keeps': 9, 'log': 8, 'awful': 8, 'service': 8, 'tried': 8, 'get': 8, 'money': 8, 'customer': 7, 'bets': 7, 'betting': 7, 'ever': 7, 'deposit': 7, 'available': 6, 'could': 6, 'kicked': 6, 'say': 6, 'half': 6}","{('customer', 'service'): 6, ('william', 'hill'): 4, ('betting', 'app'): 4, ('app', 'terrible'): 3, ('ca', 'cash'): 3, ('update', 'available'): 3, ('scores', 'update'): 3, ('since', 'update'): 3, ('even', 'tried'): 3, ('accas', 'update'): 3, ('absolute', 'joke'): 3, ('cash', 'outs'): 3, ('games', 'kicked'): 3, ('awful', 'app'): 3, ('free', 'bet'): 3, ('way', 'bet'): 3, ('always', 'suspended'): 3, ('live', 'chat'): 2, ('keeps', 'crashing'): 2, ('dont', 'let'): 2, ('try', 'log'): 2, ('downloading', 'app'): 2, ('football', 'scores'): 2, ('teams', 'winning'): 2, ('hill', 'come'): 2, ('worst', 'betting'): 2, ('money', 'bank'): 2, ('app', 'ever'): 2, ('app', 'keeps'): 2, ('ca', 'log'): 2}","{('worst', 'betting', 'app'): 2, ('william', 'hill', 'come'): 2, ('football', 'scores', 'update'): 2, ('qualify', 'free', 'bet'): 2, ('stay', 'clear', 'app'): 2, ('app', 'keeps', 'crashing'): 2, ('see', 'ladbrokes', 'apologising'): 1, ('get', 'betfair', 'paddy'): 1, ('space', 'get', 'betfair'): 1, ('waste', 'space', 'get'): 1, ('nothing', 'waste', 'space'): 1, ('apologising', 'nothing', 'waste'): 1, ('ladbrokes', 'apologising', 'nothing'): 1, ('aware', 'long', 'play'): 1, ('bets', 'see', 'ladbrokes'): 1, ('minutes', 'bets', 'see'): 1, ('playing', 'suspended', 'minutes'): 1, ('saying', 'playing', 'suspended'): 1, ('keeps', 'saying', 'playing'): 1, ('garbage', 'keeps', 'saying'): 1, ('load', 'garbage', 'keeps'): 1, ('avoid', 'load', 'garbage'): 1, ('suspended', 'minutes', 'bets'): 1, ('betfair', 'paddy', 'power'): 1, ('ever', 'totally', 'avoid'): 1, ('paddy', 'power', 'games'): 1, ('messes', 'bets', 'wrong'): 1, ('use', 'messes', 'bets'): 1, ('app', 'use', 'messes'): 1, ('score', 'app', 'use'): 1}"
0,ladbrokes,2017,2,"{'app': 18, 'bets': 13, 'cash': 7, 'time': 6, 'game': 5, 'use': 5, 'ladbrokes': 5, 'see': 4, 'ca': 4, 'betting': 4, 'got': 4, 'update': 4, 'notifications': 4, 'scores': 4, 'like': 4, 'keeps': 4, 'play': 4, 'password': 3, 'page': 3, 'constantly': 3, 'suspended': 3, 'option': 3, 'going': 3, 'football': 3, 'glitches': 3, 'live': 2, 'worst': 2, 'main': 2, 'one': 2, 'crashing': 2}","{('every', 'time'): 2, ('ca', 'see'): 2, ('app', 'constantly'): 2, ('constantly', 'crashes'): 2, ('cash', 'outs'): 2, ('place', 'bets'): 2, ('awful', 'app'): 2, ('keeps', 'crashing'): 2, ('free', 'bets'): 2, ('sat', 'see'): 1, ('coming', 'wrong'): 1, ('scores', 'coming'): 1, ('cashing', 'scores'): 1, ('possibility', 'cashing'): 1, ('preventing', 'possibility'): 1, ('pending', 'preventing'): 1, ('accas', 'pending'): 1, ('see', 'accas'): 1, ('update', 'sat'): 1, ('times', 'matches'): 1, ('outs', 'update'): 1, ('preventing', 'cash'): 1, ('alot', 'times'): 1, ('play', 'preventing'): 1, ('clearly', 'play'): 1, ('slip', 'clearly'): 1, ('bet', 'slip'): 1, ('pending', 'bet'): 1, ('matches', 'pending'): 1, ('wrong', 'updating'): 1}","{('every', 'time', 'winning'): 1, ('scores', 'coming', 'wrong'): 1, ('possibility', 'cashing', 'scores'): 1, ('preventing', 'possibility', 'cashing'): 1, ('pending', 'preventing', 'possibility'): 1, ('accas', 'pending', 'preventing'): 1, ('see', 'accas', 'pending'): 1, ('sat', 'see', 'accas'): 1, ('update', 'sat', 'see'): 1, ('outs', 'update', 'sat'): 1, ('cash', 'outs', 'update'): 1, ('preventing', 'cash', 'outs'): 1, ('play', 'preventing', 'cash'): 1, ('clearly', 'play', 'preventing'): 1, ('slip', 'clearly', 'play'): 1, ('bet', 'slip', 'clearly'): 1, ('pending', 'bet', 'slip'): 1, ('matches', 'pending', 'bet'): 1, ('times', 'matches', 'pending'): 1, ('alot', 'times', 'matches'): 1, ('correct', 'alot', 'times'): 1, ('scores', 'correct', 'alot'): 1, ('play', 'scores', 'correct'): 1, ('keeping', 'play', 'scores'): 1, ('slow', 'keeping', 'play'): 1, ('cashing', 'scores', 'coming'): 1, ('coming', 'wrong', 'updating'): 1, ('app', 'often', 'slow'): 1, ('wrong', 'updating', 'seriously'): 1, ('go', 'go', 'back'): 1}"
0,ladbrokes,2017,3,"{'app': 11, 'cash': 8, 'bet': 6, 'bets': 6, 'live': 6, 'ok': 5, 'betting': 4, 'time': 4, 'better': 4, 'update': 4, 'crashes': 3, 'bad': 3, 'horse': 3, 'team': 3, 'keeps': 3, 'logs': 3, 'would': 3, 'scores': 3, 'good': 3, 'never': 3, 'location': 2, 'get': 2, 'first': 2, 'use': 2, 'sort': 2, 'option': 2, 'please': 2, 'sites': 2, 'log': 2, 'whole': 2}","{('cash', 'option'): 2, ('horse', 'racing'): 2, ('would', 'better'): 2, ('crashes', 'whenever'): 1, ('devils', 'work'): 1, ('dangerous', 'strangley'): 1, ('pocket', 'dangerous'): 1, ('enough', 'pocket'): 1, ('bad', 'enough'): 1, ('gambling', 'bad'): 1, ('work', 'gambling'): 1, ('please', 'devils'): 1, ('addictive', 'always'): 1, ('sort', 'please'): 1, ('want', 'sort'): 1, ('u', 'want'): 1, ('cash', 'u'): 1, ('never', 'cash'): 1, ('u', 'never'): 1, ('strangley', 'addictive'): 1, ('trouble', 'cash'): 1, ('always', 'trouble'): 1, ('fast', 'enough'): 1, ('either', 'team'): 1, ('half', 'either'): 1, ('goal', 'half'): 1, ('coupon', 'goal'): 1, ('looking', 'coupon'): 1, ('corners', 'looking'): 1, ('half', 'corners'): 1}","{('crashes', 'whenever', 'cash'): 1, ('work', 'gambling', 'bad'): 1, ('addictive', 'always', 'trouble'): 1, ('strangley', 'addictive', 'always'): 1, ('dangerous', 'strangley', 'addictive'): 1, ('pocket', 'dangerous', 'strangley'): 1, ('enough', 'pocket', 'dangerous'): 1, ('bad', 'enough', 'pocket'): 1, ('gambling', 'bad', 'enough'): 1, ('devils', 'work', 'gambling'): 1, ('trouble', 'cash', 'option'): 1, ('please', 'devils', 'work'): 1, ('sort', 'please', 'devils'): 1, ('want', 'sort', 'please'): 1, ('u', 'want', 'sort'): 1, ('cash', 'u', 'want'): 1, ('never', 'cash', 'u'): 1, ('u', 'never', 'cash'): 1, ('always', 'trouble', 'cash'): 1, ('cash', 'option', 'seems'): 1, ('fast', 'enough', 'u'): 1, ('corners', 'looking', 'coupon'): 1, ('thanks', 'ok', 'many'): 1, ('team', 'thanks', 'ok'): 1, ('either', 'team', 'thanks'): 1, ('half', 'either', 'team'): 1, ('goal', 'half', 'either'): 1, ('coupon', 'goal', 'half'): 1, ('looking', 'coupon', 'goal'): 1, ('half', 'corners', 'looking'): 1}"
0,ladbrokes,2017,4,"{'app': 44, 'good': 29, 'easy': 17, 'use': 15, 'great': 11, 'need': 7, 'better': 6, 'bets': 6, 'bet': 6, 'sometimes': 5, 'ok': 5, 'site': 5, 'work': 5, 'like': 5, 'apps': 5, 'could': 5, 'overall': 4, 'says': 4, 'cash': 4, 'betting': 4, 'sports': 4, 'scores': 4, 'really': 4, 'football': 4, 'fine': 4, 'enough': 4, 'though': 3, 'needs': 3, 'slow': 3, 'tin': 3}","{('good', 'app'): 13, ('easy', 'use'): 11, ('great', 'app'): 8, ('app', 'good'): 4, ('app', 'easy'): 3, ('says', 'tin'): 3, ('works', 'fine'): 3, ('like', 'win'): 2, ('app', 'says'): 2, ('work', 'well'): 2, ('use', 'easy'): 2, ('app', 'problems'): 2, ('could', 'better'): 2, ('pretty', 'good'): 2, ('use', 'good'): 2, ('app', 'best'): 2, ('app', 'everything'): 2, ('decent', 'app'): 2, ('betting', 'apps'): 2, ('app', 'like'): 2, ('fine', 'good'): 2, ('app', 'really'): 2, ('even', 'though'): 2, ('use', 'app'): 2, ('simple', 'easy'): 2, ('main', 'site'): 1, ('go', 'main'): 1, ('good', 'wee'): 1, ('acca', 'good'): 1, ('cash', 'acca'): 1}","{('easy', 'use', 'easy'): 2, ('app', 'good', 'app'): 2, ('simple', 'easy', 'use'): 2, ('use', 'easy', 'use'): 2, ('app', 'easy', 'use'): 2, ('good', 'app', 'easy'): 2, ('easy', 'use', 'good'): 2, ('works', 'fine', 'good'): 2, ('fine', 'good', 'app'): 2, ('play', 'irish', 'spanish'): 1, ('days', 'play', 'irish'): 1, ('good', 'wee', 'app'): 1, ('irish', 'spanish', 'lottery'): 1, ('spanish', 'lottery', 'easy'): 1, ('lottery', 'easy', 'go'): 1, ('happy', 'days', 'play'): 1, ('upto', 'happy', 'days'): 1, ('problems', 'upto', 'happy'): 1, ('app', 'problems', 'upto'): 1, ('wee', 'app', 'problems'): 1, ('one', 'favorite', 'betting'): 1, ('way', 'cash', 'acca'): 1, ('acca', 'good', 'wee'): 1, ('cash', 'acca', 'good'): 1, ('go', 'true', 'play'): 1, ('quicker', 'way', 'cash'): 1, ('login', 'quicker', 'way'): 1, ('fingerprint', 'login', 'quicker'): 1, ('could', 'fingerprint', 'login'): 1, ('good', 'could', 'fingerprint'): 1}"
0,ladbrokes,2017,5,"{'app': 108, 'great': 67, 'easy': 48, 'good': 46, 'use': 42, 'betting': 20, 'love': 10, 'excellent': 10, 'brilliant': 10, 'ladbrokes': 10, 'best': 9, 'bets': 8, 'really': 8, 'need': 7, 'works': 7, 'always': 7, 'site': 6, 'navigate': 6, 'everything': 6, 'quick': 5, 'bonus': 5, 'problems': 5, 'cash': 5, 'would': 5, 'apps': 5, 'sports': 5, 'want': 4, 'time': 4, 'one': 4, 'better': 4}","{('great', 'app'): 38, ('easy', 'use'): 30, ('app', 'great'): 21, ('good', 'app'): 19, ('betting', 'app'): 12, ('app', 'good'): 12, ('app', 'easy'): 10, ('use', 'great'): 10, ('excellent', 'app'): 5, ('easy', 'navigate'): 5, ('app', 'love'): 4, ('use', 'good'): 4, ('great', 'easy'): 4, ('great', 'good'): 4, ('betting', 'apps'): 4, ('brilliant', 'app'): 4, ('app', 'everything'): 3, ('app', 'brilliant'): 3, ('app', 'works'): 3, ('love', 'great'): 3, ('app', 'always'): 3, ('really', 'good'): 3, ('brilliant', 'good'): 3, ('everything', 'need'): 3, ('use', 'app'): 2, ('good', 'brilliant'): 2, ('great', 'betting'): 2, ('app', 'use'): 2, ('good', 'excellent'): 2, ('ladbrokes', 'one'): 2}","{('app', 'great', 'app'): 13, ('app', 'easy', 'use'): 9, ('great', 'app', 'great'): 9, ('easy', 'use', 'great'): 8, ('use', 'great', 'app'): 7, ('great', 'app', 'good'): 6, ('app', 'good', 'app'): 5, ('great', 'app', 'love'): 4, ('great', 'app', 'easy'): 4, ('app', 'great', 'easy'): 3, ('easy', 'use', 'good'): 3, ('use', 'good', 'app'): 3, ('great', 'easy', 'use'): 3, ('good', 'app', 'great'): 3, ('good', 'app', 'good'): 2, ('easy', 'place', 'bets'): 2, ('good', 'app', 'easy'): 2, ('best', 'betting', 'app'): 2, ('easy', 'use', 'easy'): 2, ('works', 'well', 'great'): 2, ('app', 'always', 'works'): 2, ('great', 'app', 'always'): 2, ('love', 'great', 'good'): 2, ('great', 'good', 'brilliant'): 2, ('betting', 'app', 'great'): 2, ('easy', 'use', 'app'): 2, ('excellent', 'app', 'great'): 2, ('good', 'app', 'everything'): 2, ('app', 'everything', 'need'): 2, ('app', 'brilliant', 'app'): 2}"
0,ladbrokes,2018,1,"{'app': 135, 'bet': 57, 'money': 45, 'get': 41, 'bets': 32, 'time': 32, 'cash': 30, 'use': 28, 'worst': 27, 'betting': 26, 'account': 26, 'slow': 25, 'never': 22, 'even': 22, 'ca': 21, 'terrible': 20, 'customer': 19, 'work': 19, 'ladbrokes': 18, 'game': 18, 'games': 17, 'back': 16, 'always': 16, 'could': 16, 'free': 16, 'used': 16, 'log': 16, 'would': 16, 'wo': 16, 'load': 15}","{('customer', 'service'): 11, ('worst', 'app'): 10, ('free', 'bets'): 8, ('worst', 'betting'): 7, ('terrible', 'app'): 7, ('free', 'bet'): 7, ('sky', 'bet'): 7, ('betting', 'app'): 6, ('app', 'always'): 6, ('waste', 'time'): 6, ('app', 'work'): 6, ('wo', 'load'): 6, ('keeps', 'crashing'): 6, ('never', 'works'): 5, ('technical', 'issues'): 5, ('another', 'app'): 5, ('money', 'back'): 5, ('every', 'time'): 5, ('app', 'keeps'): 5, ('cash', 'option'): 5, ('app', 'ever'): 4, ('ca', 'get'): 4, ('place', 'bets'): 4, ('even', 'get'): 4, ('customer', 'support'): 4, ('app', 'slow'): 4, ('keeps', 'saying'): 4, ('per', 'line'): 4, ('taking', 'money'): 4, ('bad', 'app'): 4}","{('worst', 'betting', 'app'): 5, ('since', 'last', 'update'): 3, ('hardly', 'ever', 'get'): 2, ('app', 'keeps', 'crashing'): 2, ('even', 'get', 'app'): 2, ('euro', 'per', 'line'): 2, ('told', 'password', 'wrong'): 2, ('per', 'line', 'took'): 2, ('cent', 'per', 'line'): 2, ('back', 'sky', 'bet'): 2, ('worst', 'app', 'ever'): 2, ('use', 'another', 'app'): 2, ('rubbish', 'closing', 'account'): 2, ('customer', 'service', 'appalling'): 2, ('way', 'get', 'promotion'): 2, ('first', 'race', 'receive'): 2, ('race', 'receive', 'free'): 2, ('receive', 'free', 'bet'): 2, ('promotional', 'free', 'bets'): 2, ('free', 'bets', 'contact'): 2, ('without', 'doubt', 'worst'): 2, ('betting', 'app', 'ever'): 2, ('doubt', 'worst', 'betting'): 2, ('log', 'account', 'says'): 2, ('app', 'ever', 'used'): 2, ('app', 'keeps', 'freezing'): 2, ('app', 'slow', 'confusing'): 1, ('pounds', 'signed', 'money'): 1, ('money', 'pounds', 'signed'): 1, ('fake', 'money', 'pounds'): 1}"
0,ladbrokes,2018,2,"{'app': 45, 'bet': 25, 'keeps': 15, 'bets': 15, 'get': 14, 'always': 12, 'crashes': 11, 'never': 10, 'crashing': 9, 'got': 9, 'time': 9, 'slow': 9, 'work': 9, 'log': 8, 'like': 8, 'ca': 8, 'money': 7, 'free': 7, 'let': 7, 'also': 7, 'update': 7, 'ladbrokes': 7, 'use': 7, 'even': 7, 'cash': 6, 'betting': 6, 'account': 6, 'freezes': 6, 'games': 6, 'issues': 5}","{('keeps', 'crashing'): 7, ('betting', 'app'): 4, ('always', 'crashes'): 4, ('place', 'bet'): 4, ('free', 'bets'): 4, ('app', 'slow'): 3, ('customer', 'service'): 3, ('sky', 'bet'): 3, ('placed', 'bet'): 3, ('never', 'got'): 3, ('free', 'bet'): 3, ('app', 'always'): 3, ('app', 'app'): 3, ('use', 'app'): 2, ('every', 'time'): 2, ('william', 'hill'): 2, ('time', 'get'): 2, ('bet', 'never'): 2, ('like', 'grid'): 2, ('often', 'freezes'): 2, ('grid', 'app'): 2, ('customer', 'services'): 2, ('bets', 'always'): 2, ('half', 'time'): 2, ('wont', 'let'): 2, ('closing', 'sign'): 2, ('app', 'keeps'): 2, ('put', 'bets'): 2, ('every', 'day'): 2, ('update', 'balance'): 2}","{('bet', 'never', 'got'): 2, ('like', 'grid', 'app'): 2, ('app', 'keeps', 'crashing'): 2, ('app', 'always', 'crashes'): 2, ('app', 'sky', 'bet'): 2, ('deposit', 'gone', 'go'): 1, ('gone', 'go', 'back'): 1, ('go', 'back', 'pp'): 1, ('back', 'pp', 'skybet'): 1, ('bets', 'times', 'seems'): 1, ('pp', 'skybet', 'constant'): 1, ('skybet', 'constant', 'issues'): 1, ('constant', 'issues', 'logging'): 1, ('initial', 'deposit', 'gone'): 1, ('gave', 'initial', 'deposit'): 1, ('issues', 'logging', 'allow'): 1, ('logging', 'allow', 'put'): 1, ('allow', 'put', 'bets'): 1, ('put', 'bets', 'times'): 1, ('app', 'awful', 'always'): 1, ('times', 'seems', 'may'): 1, ('log', 'put', 'bets'): 1, ('says', 'updates', 'available'): 1, ('update', 'says', 'updates'): 1, ('app', 'update', 'says'): 1, ('betting', 'app', 'update'): 1, ('bets', 'betting', 'app'): 1, ('put', 'bets', 'betting'): 1, ('cant', 'log', 'put'): 1, ('customer', 'services', 'gave'): 1}"
0,ladbrokes,2018,3,"{'app': 66, 'good': 28, 'bet': 24, 'cash': 17, 'slow': 16, 'ok': 16, 'time': 14, 'want': 13, 'money': 12, 'could': 12, 'bets': 12, 'betting': 11, 'even': 11, 'use': 11, 'keeps': 11, 'ladbrokes': 11, 'get': 11, 'often': 10, 'need': 10, 'game': 9, 'work': 9, 'always': 9, 'better': 9, 'location': 9, 'quite': 8, 'lot': 8, 'crashing': 8, 'ca': 8, 'great': 8, 'bit': 8}","{('good', 'app'): 12, ('keeps', 'crashing'): 6, ('place', 'bet'): 5, ('half', 'time'): 4, ('great', 'app'): 4, ('app', 'slow'): 4, ('even', 'though'): 3, ('could', 'better'): 3, ('app', 'need'): 3, ('use', 'app'): 3, ('every', 'time'): 3, ('app', 'good'): 3, ('app', 'bit'): 3, ('ladbrokes', 'app'): 3, ('keep', 'getting'): 3, ('free', 'bets'): 3, ('betting', 'apps'): 3, ('slow', 'half'): 2, ('pretty', 'good'): 2, ('ca', 'use'): 2, ('app', 'ok'): 2, ('app', 'works'): 2, ('one', 'game'): 2, ('betting', 'site'): 2, ('need', 'know'): 2, ('ladbrokes', 'customer'): 2, ('ca', 'get'): 2, ('putting', 'money'): 2, ('customer', 'service'): 2, ('app', 'keeps'): 2}","{('trying', 'place', 'bet'): 2, ('better', 'betting', 'site'): 2, ('could', 'lot', 'better'): 2, ('slow', 'half', 'time'): 2, ('good', 'app', 'keeps'): 2, ('app', 'keeps', 'crashing'): 2, ('lots', 'lots', 'problems'): 1, ('crashes', 'buffers', 'persistently'): 1, ('app', 'start', 'selections'): 1, ('shut', 'app', 'start'): 1, ('accumulator', 'shut', 'app'): 1, ('placing', 'accumulator', 'shut'): 1, ('frustrating', 'placing', 'accumulator'): 1, ('persistently', 'frustrating', 'placing'): 1, ('buffers', 'persistently', 'frustrating'): 1, ('explain', 'app', 'crashes'): 1, ('app', 'crashes', 'buffers'): 1, ('selections', 'scratch', 'better'): 1, ('users', 'explain', 'app'): 1, ('others', 'users', 'explain'): 1, ('often', 'others', 'users'): 1, ('happens', 'often', 'others'): 1, ('happy', 'happens', 'often'): 1, ('play', 'happy', 'happens'): 1, ('cant', 'play', 'happy'): 1, ('start', 'selections', 'scratch'): 1, ('better', 'using', 'web'): 1, ('scratch', 'better', 'using'): 1, ('reminding', 'boost', 'offer'): 1, ('results', 'trying', 'avoid'): 1}"
0,ladbrokes,2018,4,"{'app': 115, 'good': 76, 'easy': 51, 'use': 42, 'great': 30, 'bets': 25, 'bet': 23, 'ok': 17, 'like': 17, 'betting': 16, 'could': 15, 'cash': 14, 'better': 14, 'free': 13, 'sometimes': 13, 'get': 12, 'navigate': 11, 'overall': 11, 'ladbrokes': 10, 'love': 10, 'times': 9, 'odds': 9, 'one': 9, 'well': 9, 'quick': 8, 'would': 8, 'time': 8, 'bad': 8, 'bit': 8, 'slow': 8}","{('good', 'app'): 29, ('easy', 'use'): 26, ('app', 'easy'): 18, ('app', 'good'): 15, ('great', 'app'): 14, ('easy', 'navigate'): 9, ('good', 'good'): 9, ('free', 'bets'): 8, ('app', 'great'): 7, ('betting', 'app'): 6, ('app', 'works'): 4, ('horse', 'racing'): 4, ('works', 'well'): 4, ('navigate', 'good'): 3, ('app', 'could'): 3, ('use', 'good'): 3, ('simple', 'easy'): 3, ('nice', 'easy'): 3, ('overall', 'good'): 3, ('good', 'sometimes'): 3, ('app', 'use'): 3, ('good', 'betting'): 3, ('love', 'app'): 3, ('free', 'bet'): 3, ('use', 'great'): 3, ('odds', 'boost'): 2, ('every', 'time'): 2, ('improvement', 'previous'): 2, ('good', 'odds'): 2, ('user', 'friendly'): 2}","{('app', 'easy', 'use'): 11, ('app', 'good', 'app'): 6, ('good', 'app', 'good'): 6, ('great', 'app', 'easy'): 5, ('app', 'easy', 'navigate'): 5, ('good', 'good', 'app'): 4, ('good', 'betting', 'app'): 3, ('good', 'app', 'easy'): 3, ('good', 'app', 'great'): 3, ('better', 'good', 'app'): 2, ('nice', 'easy', 'use'): 2, ('easy', 'navigate', 'good'): 2, ('easy', 'use', 'great'): 2, ('easy', 'use', 'overall'): 2, ('app', 'works', 'well'): 2, ('easy', 'use', 'love'): 2, ('app', 'great', 'app'): 2, ('use', 'bad', 'app'): 2, ('easy', 'navigate', 'around'): 2, ('navigate', 'good', 'app'): 2, ('easy', 'use', 'good'): 2, ('overall', 'quite', 'good'): 2, ('easy', 'use', 'sometimes'): 2, ('great', 'app', 'good'): 2, ('overall', 'good', 'app'): 2, ('app', 'good', 'good'): 2, ('simple', 'easy', 'use'): 2, ('checking', 'odds', 'betting'): 1, ('app', 'makes', 'checking'): 1, ('makes', 'checking', 'odds'): 1}"
0,ladbrokes,2018,5,"{'app': 286, 'great': 174, 'good': 150, 'easy': 137, 'use': 125, 'love': 58, 'betting': 56, 'best': 40, 'excellent': 29, 'bets': 24, 'brilliant': 24, 'free': 23, 'odds': 22, 'bet': 21, 'offers': 21, 'really': 19, 'quick': 19, 'ladbrokes': 18, 'site': 18, 'works': 17, 'like': 17, 'need': 17, 'could': 16, 'well': 16, 'better': 15, 'problems': 15, 'win': 15, 'would': 14, 'get': 14, 'simple': 14}","{('easy', 'use'): 103, ('great', 'app'): 88, ('good', 'app'): 46, ('app', 'easy'): 45, ('app', 'great'): 32, ('betting', 'app'): 30, ('app', 'good'): 26, ('use', 'great'): 19, ('best', 'betting'): 13, ('use', 'easy'): 13, ('free', 'bets'): 12, ('good', 'good'): 12, ('love', 'app'): 11, ('easy', 'navigate'): 11, ('excellent', 'app'): 9, ('really', 'good'): 9, ('use', 'good'): 9, ('great', 'betting'): 9, ('good', 'great'): 8, ('use', 'app'): 8, ('brilliant', 'app'): 8, ('works', 'well'): 7, ('app', 'best'): 7, ('great', 'site'): 7, ('app', 'love'): 7, ('app', 'brilliant'): 6, ('best', 'app'): 6, ('love', 'great'): 6, ('excellent', 'great'): 6, ('good', 'excellent'): 6}","{('app', 'easy', 'use'): 32, ('great', 'app', 'easy'): 23, ('app', 'great', 'app'): 22, ('easy', 'use', 'great'): 17, ('easy', 'use', 'easy'): 12, ('great', 'app', 'great'): 11, ('best', 'betting', 'app'): 10, ('easy', 'use', 'good'): 9, ('use', 'easy', 'use'): 8, ('great', 'app', 'good'): 8, ('use', 'great', 'app'): 8, ('good', 'app', 'easy'): 7, ('app', 'good', 'app'): 7, ('good', 'app', 'good'): 7, ('good', 'app', 'great'): 7, ('app', 'easy', 'navigate'): 6, ('great', 'betting', 'app'): 6, ('simple', 'easy', 'use'): 5, ('easy', 'use', 'app'): 5, ('really', 'good', 'app'): 5, ('use', 'good', 'app'): 5, ('app', 'brilliant', 'app'): 4, ('easy', 'use', 'quick'): 4, ('easy', 'use', 'best'): 4, ('boosts', 'easy', 'use'): 4, ('app', 'user', 'friendly'): 3, ('betting', 'app', 'around'): 3, ('easy', 'use', 'one'): 3, ('excellent', 'app', 'easy'): 3, ('betting', 'app', 'good'): 3}"
0,ladbrokes,2019,1,"{'app': 304, 'bet': 128, 'bets': 79, 'money': 71, 'time': 70, 'ladbrokes': 63, 'cash': 58, 'log': 58, 'update': 57, 'use': 56, 'slow': 55, 'even': 54, 'password': 50, 'get': 49, 'keeps': 49, 'terrible': 48, 'betting': 48, 'account': 45, 'ca': 44, 'always': 43, 'worst': 39, 'every': 38, 'back': 37, 'never': 36, 'let': 36, 'crashes': 36, 'free': 36, 'would': 35, 'one': 35, 'ever': 33}","{('keeps', 'crashing'): 19, ('app', 'keeps'): 16, ('place', 'bet'): 16, ('every', 'time'): 16, ('customer', 'service'): 15, ('app', 'ever'): 15, ('free', 'bets'): 15, ('worst', 'app'): 14, ('betting', 'app'): 13, ('free', 'bet'): 12, ('worst', 'betting'): 12, ('reset', 'password'): 12, ('new', 'update'): 11, ('app', 'slow'): 11, ('terrible', 'app'): 11, ('let', 'log'): 9, ('poor', 'app'): 9, ('wont', 'let'): 9, ('waste', 'time'): 9, ('ladbrokes', 'app'): 8, ('app', 'crashes'): 8, ('since', 'update'): 8, ('constantly', 'crashes'): 8, ('awful', 'app'): 8, ('shocking', 'app'): 8, ('even', 'though'): 8, ('wo', 'let'): 7, ('sky', 'bet'): 7, ('money', 'account'): 7, ('ever', 'used'): 6}","{('worst', 'betting', 'app'): 8, ('app', 'keeps', 'crashing'): 7, ('betting', 'app', 'ever'): 5, ('worst', 'app', 'ever'): 5, ('time', 'try', 'log'): 4, ('use', 'sky', 'bet'): 3, ('app', 'constantly', 'crashes'): 3, ('every', 'time', 'try'): 3, ('ca', 'place', 'bet'): 3, ('bet', 'placement', 'unavailable'): 3, ('new', 'update', 'terrible'): 3, ('app', 'ever', 'used'): 3, ('reset', 'password', 'everytime'): 3, ('wo', 'let', 'log'): 3, ('back', 'first', 'race'): 2, ('contact', 'customer', 'service'): 2, ('work', 'half', 'time'): 2, ('cant', 'even', 'put'): 2, ('app', 'keeps', 'closing'): 2, ('even', 'withdraw', 'money'): 2, ('account', 'photo', 'id'): 2, ('back', 'old', 'app'): 2, ('bet', 'app', 'closed'): 2, ('bring', 'back', 'old'): 2, ('u', 'william', 'hill'): 2, ('expect', 'much', 'better'): 2, ('version', 'app', 'keeps'): 2, ('services', 'available', 'location'): 2, ('takes', 'ages', 'load'): 2, ('total', 'waste', 'time'): 2}"
