,Company,Year,Rate,Word,Pair,Tri
0,williamhill,2017,1,"{'app': 180, 'bet': 88, 'bets': 60, 'place': 42, 'time': 40, 'ca': 37, 'slow': 37, 'use': 31, 'betting': 30, 'old': 26, 'even': 25, 'connection': 25, 'poor': 25, 'open': 25, 'money': 24, 'load': 23, 'would': 22, 'terrible': 20, 'work': 18, 'get': 18, 'rubbish': 18, 'trying': 17, 'hill': 17, 'takes': 16, 'constantly': 16, 'waste': 16, 'cash': 16, 'useless': 16, 'better': 16, 'worst': 16}","{('place', 'bet'): 23, ('betting', 'app'): 15, ('william', 'hill'): 15, ('open', 'bets'): 15, ('old', 'app'): 15, ('waste', 'time'): 13, ('terrible', 'app'): 12, ('internet', 'connection'): 12, ('place', 'bets'): 11, ('bet', 'slip'): 11, ('much', 'better'): 8, ('app', 'slow'): 7, ('app', 'ever'): 7, ('awful', 'app'): 7, ('ca', 'get'): 6, ('even', 'though'): 6, ('sky', 'bet'): 6, ('old', 'one'): 6, ('trying', 'place'): 6, ('poor', 'connection'): 6, ('ever', 'used'): 6, ('worst', 'betting'): 6, ('app', 'much'): 5, ('want', 'place'): 5, ('bet', 'app'): 5, ('slow', 'slow'): 5, ('ca', 'place'): 5, ('every', 'time'): 5, ('says', 'poor'): 4, ('app', 'far'): 4}","{('worst', 'betting', 'app'): 6, ('ca', 'place', 'bets'): 5, ('says', 'poor', 'connection'): 4, ('says', 'internet', 'connection'): 4, ('trying', 'place', 'bet'): 4, ('app', 'ever', 'used'): 4, ('app', 'much', 'better'): 4, ('wo', 'let', 'place'): 3, ('place', 'play', 'bet'): 3, ('use', 'main', 'website'): 3, ('bets', 'bet', 'slip'): 3, ('betting', 'app', 'ever'): 3, ('back', 'old', 'app'): 3, ('app', 'waste', 'time'): 3, ('old', 'app', 'much'): 3, ('bet', 'terrible', 'app'): 3, ('place', 'bets', 'keeps'): 3, ('want', 'place', 'bet'): 3, ('show', 'open', 'bets'): 3, ('even', 'place', 'bet'): 3, ('poor', 'app', 'slow'): 2, ('waste', 'time', 'money'): 2, ('slow', 'slow', 'slow'): 2, ('let', 'place', 'bet'): 2, ('takes', 'forever', 'place'): 2, ('sort', 'william', 'hill'): 2, ('open', 'bets', 'cash'): 2, ('says', 'connected', 'internet'): 2, ('forever', 'place', 'bet'): 2, ('waste', 'time', 'terrible'): 2}"
0,williamhill,2017,2,"{'app': 44, 'bets': 32, 'bet': 30, 'place': 19, 'time': 14, 'slow': 14, 'even': 13, 'ca': 13, 'betting': 10, 'slip': 10, 'poor': 9, 'sort': 9, 'open': 9, 'always': 9, 'great': 9, 'good': 9, 'work': 8, 'put': 8, 'trying': 8, 'works': 8, 'update': 8, 'better': 8, 'use': 8, 'internet': 7, 'connection': 7, 'also': 7, 'old': 7, 'new': 7, 'please': 6, 'worked': 6}","{('place', 'bet'): 10, ('place', 'bets'): 7, ('open', 'bets'): 6, ('bet', 'slip'): 5, ('trying', 'place'): 5, ('betting', 'app'): 4, ('william', 'hill'): 4, ('put', 'bet'): 4, ('internet', 'connection'): 4, ('old', 'app'): 4, ('ca', 'place'): 3, ('app', 'worked'): 3, ('betting', 'slip'): 3, ('see', 'open'): 3, ('ca', 'even'): 3, ('half', 'time'): 3, ('much', 'better'): 3, ('lots', 'bugs'): 2, ('ca', 'always'): 2, ('keeps', 'freezing'): 2, ('freezing', 'loading'): 2, ('slow', 'loading'): 2, ('tip', 'advisor'): 2, ('new', 'update'): 2, ('lottery', 'whether'): 2, ('current', 'day'): 2, ('old', 'one'): 2, ('time', 'wo'): 2, ('hill', 'poor'): 2, ('worked', 'fine'): 2}","{('ca', 'place', 'bets'): 2, ('trying', 'place', 'bet'): 2, ('let', 'place', 'bet'): 2, ('william', 'hill', 'poor'): 2, ('see', 'open', 'bets'): 2, ('trying', 'place', 'bets'): 2, ('open', 'settled', 'bets'): 2, ('internet', 'banner', 'always'): 1, ('banner', 'always', 'showing'): 1, ('always', 'showing', 'new'): 1, ('showing', 'new', 'version'): 1, ('come', 'home', 'page'): 1, ('new', 'version', 'slow'): 1, ('version', 'slow', 'place'): 1, ('slow', 'place', 'bet'): 1, ('freezing', 'internet', 'banner'): 1, ('place', 'bet', 'come'): 1, ('constant', 'freezing', 'internet'): 1, ('bet', 'come', 'home'): 1, ('glitches', 'constant', 'freezing'): 1, ('planning', 'acca', 'look'): 1, ('sort', 'william', 'hill'): 1, ('home', 'page', 'sort'): 1, ('page', 'sort', 'william'): 1, ('fine', 'without', 'glitches'): 1, ('hill', 'poor', 'app'): 1, ('poor', 'app', 'like'): 1, ('app', 'like', 'booster'): 1, ('like', 'booster', 'bets'): 1, ('booster', 'bets', 'ca'): 1}"
0,williamhill,2017,3,"{'app': 17, 'bets': 9, 'slow': 7, 'bet': 7, 'good': 6, 'better': 6, 'time': 6, 'freezes': 6, 'connection': 5, 'works': 5, 'decent': 5, 'ok': 5, 'bit': 5, 'needs': 4, 'let': 4, 'often': 4, 'open': 4, 'great': 4, 'even': 4, 'much': 4, 'wifi': 4, 'still': 3, 'got': 3, 'location': 3, 'like': 3, 'ca': 3, 'work': 3, 'want': 3, 'turn': 3, 'annoying': 3}","{('decent', 'app'): 4, ('every', 'time'): 3, ('much', 'better'): 3, ('needs', 'work'): 3, ('freezes', 'lot'): 2, ('let', 'place'): 2, ('open', 'bets'): 2, ('app', 'could'): 2, ('great', 'layout'): 2, ('put', 'bet'): 2, ('ok', 'placing'): 1, ('ca', 'find'): 1, ('arse', 'ca'): 1, ('pain', 'arse'): 1, ('real', 'pain'): 1, ('time', 'real'): 1, ('issues', 'freezes'): 1, ('freezes', 'time'): 1, ('connection', 'issues'): 1, ('always', 'connection'): 1, ('works', 'always'): 1, ('never', 'works'): 1, ('app', 'never'): 1, ('pages', 'app'): 1, ('loading', 'pages'): 1, ('side', 'loading'): 1, ('slow', 'side'): 1, ('find', 'cash'): 1, ('want', 'decent'): 1, ('cash', 'want'): 1}","{('ok', 'placing', 'bets'): 1, ('connection', 'issues', 'freezes'): 1, ('want', 'decent', 'app'): 1, ('cash', 'want', 'decent'): 1, ('find', 'cash', 'want'): 1, ('ca', 'find', 'cash'): 1, ('arse', 'ca', 'find'): 1, ('pain', 'arse', 'ca'): 1, ('real', 'pain', 'arse'): 1, ('time', 'real', 'pain'): 1, ('freezes', 'time', 'real'): 1, ('issues', 'freezes', 'time'): 1, ('always', 'connection', 'issues'): 1, ('app', 'working', 'properly'): 1, ('works', 'always', 'connection'): 1, ('never', 'works', 'always'): 1, ('app', 'never', 'works'): 1, ('pages', 'app', 'never'): 1, ('loading', 'pages', 'app'): 1, ('side', 'loading', 'pages'): 1, ('slow', 'side', 'loading'): 1, ('little', 'slow', 'side'): 1, ('app', 'little', 'slow'): 1, ('skybet', 'app', 'little'): 1, ('decent', 'app', 'working'): 1, ('working', 'properly', 'unreliable'): 1, ('still', 'patch', 'skybet'): 1, ('ok', 'decent', 'ui'): 1, ('wifi', 'often', 'move'): 1, ('good', 'wifi', 'often'): 1}"
0,williamhill,2017,4,"{'app': 14, 'good': 13, 'use': 10, 'easy': 9, 'better': 7, 'bet': 6, 'great': 5, 'betting': 5, 'bets': 4, 'seems': 4, 'time': 3, 'nice': 3, 'sometimes': 3, 'button': 3, 'far': 3, 'placing': 2, 'apps': 2, 'works': 2, 'well': 2, 'google': 2, 'navigate': 2, 'pretty': 2, 'much': 2, 'quick': 2, 'would': 2, 'little': 2, 'placed': 2, 'ok': 2, 'slip': 2, 'need': 2}","{('easy', 'use'): 7, ('good', 'app'): 4, ('great', 'app'): 4, ('good', 'good'): 3, ('betting', 'app'): 2, ('pretty', 'good'): 2, ('betting', 'apps'): 2, ('much', 'better'): 2, ('quick', 'easy'): 2, ('works', 'well'): 2, ('placing', 'bets'): 2, ('good', 'betting'): 2, ('little', 'temperamental'): 1, ('laggy', 'little'): 1, ('temperamental', 'placing'): 1, ('bets', 'good'): 1, ('app', 'use'): 1, ('use', 'need'): 1, ('need', 'pretty'): 1, ('books', 'agree'): 1, ('abit', 'laggy'): 1, ('app', 'far'): 1, ('far', 'easy'): 1, ('use', 'navigate'): 1, ('navigate', 'betting'): 1, ('betting', 'novice'): 1, ('novice', 'much'): 1, ('better', 'old'): 1, ('old', 'one'): 1, ('app', 'pretty'): 1}","{('good', 'good', 'good'): 2, ('pretty', 'good', 'betting'): 2, ('good', 'betting', 'app'): 2, ('books', 'agree', 'new'): 1, ('use', 'navigate', 'betting'): 1, ('app', 'use', 'need'): 1, ('use', 'need', 'pretty'): 1, ('need', 'pretty', 'good'): 1, ('betting', 'app', 'pretty'): 1, ('app', 'pretty', 'good'): 1, ('betting', 'app', 'far'): 1, ('app', 'far', 'easy'): 1, ('far', 'easy', 'use'): 1, ('easy', 'use', 'navigate'): 1, ('navigate', 'betting', 'novice'): 1, ('bets', 'good', 'app'): 1, ('betting', 'novice', 'much'): 1, ('novice', 'much', 'better'): 1, ('much', 'better', 'old'): 1, ('better', 'old', 'one'): 1, ('old', 'one', 'works'): 1, ('one', 'works', 'well'): 1, ('works', 'well', 'google'): 1, ('well', 'google', 'pixel'): 1, ('google', 'pixel', 'getting'): 1, ('pixel', 'getting', 'better'): 1, ('getting', 'better', 'release'): 1, ('better', 'release', 'great'): 1, ('good', 'app', 'use'): 1, ('placing', 'bets', 'good'): 1}"
0,williamhill,2017,5,"{'app': 66, 'great': 48, 'use': 25, 'good': 22, 'easy': 19, 'love': 7, 'like': 6, 'hill': 6, 'william': 6, 'betting': 6, 'fast': 6, 'best': 6, 'bets': 6, 'time': 6, 'nice': 5, 'bet': 5, 'used': 5, 'really': 5, 'excellent': 5, 'little': 4, 'better': 4, 'quality': 4, 'ok': 4, 'problems': 4, 'odds': 4, 'simple': 3, 'small': 3, 'fantastic': 3, 'well': 3, 'works': 3}","{('great', 'app'): 28, ('easy', 'use'): 17, ('app', 'great'): 8, ('app', 'good'): 7, ('good', 'app'): 6, ('great', 'great'): 5, ('william', 'hill'): 5, ('use', 'great'): 5, ('app', 'easy'): 4, ('betting', 'app'): 4, ('app', 'really'): 3, ('app', 'love'): 3, ('best', 'betting'): 3, ('excellent', 'app'): 3, ('good', 'good'): 2, ('app', 'simple'): 2, ('fantastic', 'app'): 2, ('app', 'quality'): 2, ('good', 'great'): 2, ('love', 'app'): 2, ('cool', 'app'): 2, ('awesome', 'app'): 2, ('use', 'good'): 2, ('good', 'nice'): 2, ('app', 'small'): 2, ('hill', 'app'): 2, ('great', 'like'): 2, ('really', 'easy'): 2, ('simple', 'use'): 2, ('use', 'fast'): 2}","{('app', 'great', 'app'): 5, ('app', 'easy', 'use'): 4, ('great', 'app', 'easy'): 4, ('app', 'good', 'app'): 4, ('great', 'app', 'love'): 3, ('easy', 'use', 'great'): 3, ('best', 'betting', 'app'): 3, ('great', 'app', 'great'): 3, ('great', 'app', 'good'): 3, ('use', 'great', 'app'): 3, ('easy', 'use', 'quality'): 2, ('cool', 'app', 'great'): 2, ('great', 'great', 'great'): 2, ('william', 'hill', 'app'): 2, ('easy', 'use', 'good'): 2, ('great', 'app', 'really'): 2, ('great', 'app', 'small'): 2, ('really', 'easy', 'use'): 2, ('great', 'great', 'app'): 2, ('brilliant', 'easy', 'use'): 2, ('easy', 'use', 'app'): 2, ('installed', 'found', 'account'): 1, ('work', 'first', 'installed'): 1, ('first', 'installed', 'found'): 1, ('first', 'used', 'working'): 1, ('waiting', 'connection', 'ok'): 1, ('reviewed', 'app', 'work'): 1, ('found', 'account', 'cards'): 1, ('account', 'cards', 'paypal'): 1, ('cards', 'paypal', 'first'): 1}"
0,williamhill,2018,1,"{'app': 240, 'bet': 132, 'keeps': 67, 'bets': 64, 'time': 64, 'ca': 57, 'logging': 52, 'every': 50, 'slow': 49, 'place': 49, 'use': 49, 'log': 42, 'logs': 42, 'even': 42, 'cash': 41, 'betting': 41, 'get': 41, 'hill': 41, 'poor': 41, 'william': 39, 'money': 38, 'connection': 37, 'terrible': 36, 'constantly': 32, 'logged': 31, 'seconds': 29, 'back': 28, 'account': 28, 'work': 27, 'try': 25}","{('william', 'hill'): 39, ('keeps', 'logging'): 36, ('place', 'bet'): 31, ('every', 'time'): 20, ('bet', 'slip'): 18, ('every', 'seconds'): 18, ('betting', 'app'): 17, ('terrible', 'app'): 16, ('poor', 'connection'): 13, ('keep', 'getting'): 10, ('place', 'bets'): 10, ('ca', 'even'): 10, ('app', 'keeps'): 9, ('app', 'ever'): 9, ('awful', 'app'): 9, ('logging', 'every'): 9, ('logged', 'every'): 9, ('app', 'constantly'): 9, ('worst', 'app'): 8, ('app', 'ca'): 8, ('rubbish', 'app'): 8, ('customer', 'service'): 8, ('open', 'bets'): 8, ('let', 'log'): 8, ('poor', 'app'): 8, ('ca', 'place'): 8, ('sky', 'bet'): 7, ('worst', 'betting'): 7, ('logs', 'every'): 7, ('app', 'terrible'): 7}","{('logged', 'every', 'seconds'): 7, ('keeps', 'logging', 'every'): 7, ('every', 'time', 'try'): 6, ('keep', 'getting', 'logged'): 6, ('worst', 'betting', 'app'): 6, ('app', 'keeps', 'logging'): 5, ('worst', 'app', 'ever'): 4, ('logs', 'every', 'seconds'): 4, ('trying', 'place', 'bet'): 4, ('every', 'time', 'click'): 4, ('use', 'william', 'hill'): 4, ('logging', 'every', 'seconds'): 4, ('ca', 'place', 'bet'): 4, ('ca', 'even', 'place'): 4, ('really', 'bad', 'app'): 4, ('terrible', 'app', 'slow'): 3, ('ca', 'place', 'bets'): 3, ('even', 'let', 'log'): 3, ('saying', 'poor', 'connection'): 3, ('getting', 'logged', 'every'): 3, ('even', 'place', 'bet'): 3, ('add', 'bet', 'slip'): 3, ('time', 'keeps', 'logging'): 3, ('wo', 'let', 'log'): 3, ('logs', 'every', 'time'): 3, ('try', 'place', 'bet'): 3, ('betting', 'app', 'ever'): 3, ('app', 'ever', 'used'): 3, ('one', 'worst', 'apps'): 2, ('app', 'ca', 'even'): 2}"
0,williamhill,2018,2,"{'app': 55, 'bet': 28, 'bets': 18, 'keeps': 17, 'logging': 16, 'cash': 15, 'time': 15, 'log': 15, 'constantly': 15, 'slow': 15, 'place': 12, 'logs': 12, 'seconds': 11, 'logged': 11, 'open': 10, 'update': 10, 'poor': 9, 'fix': 9, 'every': 9, 'get': 8, 'good': 8, 'ca': 8, 'use': 8, 'money': 8, 'always': 7, 'keep': 7, 'like': 7, 'even': 7, 'going': 7, 'please': 6}","{('open', 'bets'): 8, ('keeps', 'logging'): 8, ('place', 'bet'): 8, ('william', 'hill'): 6, ('every', 'seconds'): 5, ('bet', 'slip'): 5, ('grand', 'national'): 4, ('constantly', 'logs'): 4, ('every', 'time'): 4, ('android', 'app'): 3, ('app', 'keeps'): 3, ('logged', 'every'): 3, ('please', 'fix'): 3, ('app', 'working'): 3, ('get', 'free'): 3, ('like', 'users'): 2, ('use', 'app'): 2, ('free', 'bets'): 2, ('ca', 'place'): 2, ('play', 'fair'): 2, ('tut', 'tut'): 2, ('sometimes', 'take'): 2, ('fix', 'app'): 2, ('app', 'takes'): 2, ('bet', 'time'): 2, ('bets', 'would'): 2, ('taking', 'money'): 2, ('since', 'update'): 2, ('logging', 'seconds'): 2, ('constantly', 'logging'): 2}","{('logged', 'every', 'seconds'): 3, ('clicked', 'open', 'bets'): 2, ('logging', 'every', 'seconds'): 2, ('get', 'free', 'bets'): 2, ('android', 'app', 'samsung'): 1, ('elsewhere', 'issue', 'corrected'): 1, ('everytime', 'log', 'last'): 1, ('logging', 'everytime', 'log'): 1, ('keeps', 'logging', 'everytime'): 1, ('soon', 'keeps', 'logging'): 1, ('corrected', 'soon', 'keeps'): 1, ('issue', 'corrected', 'soon'): 1, ('business', 'taken', 'elsewhere'): 1, ('taken', 'elsewhere', 'issue'): 1, ('last', 'time', 'done'): 1, ('experience', 'business', 'taken'): 1, ('user', 'experience', 'business'): 1, ('impacting', 'user', 'experience'): 1, ('really', 'impacting', 'user'): 1, ('log', 'last', 'time'): 1, ('time', 'done', 'bet'): 1, ('please', 'sort', 'really'): 1, ('like', 'supposed', 'worked'): 1, ('easy', 'navigate', 'use'): 1, ('overall', 'easy', 'navigate'): 1, ('update', 'overall', 'easy'): 1, ('last', 'update', 'overall'): 1, ('great', 'last', 'update'): 1, ('worked', 'great', 'last'): 1, ('supposed', 'worked', 'great'): 1}"
0,williamhill,2018,3,"{'app': 35, 'good': 12, 'bets': 12, 'slow': 11, 'ok': 8, 'bet': 7, 'use': 7, 'cash': 7, 'keeps': 6, 'like': 6, 'logging': 6, 'still': 6, 'would': 6, 'get': 5, 'time': 5, 'log': 5, 'works': 5, 'hill': 5, 'open': 5, 'see': 5, 'william': 5, 'times': 5, 'bit': 5, 'sometimes': 4, 'option': 4, 'betting': 4, 'connection': 4, 'league': 4, 'ca': 4, 'lot': 4}","{('william', 'hill'): 5, ('open', 'bets'): 4, ('keeps', 'logging'): 3, ('good', 'app'): 3, ('bit', 'slow'): 3, ('betting', 'app'): 3, ('teams', 'score'): 3, ('place', 'bet'): 3, ('slow', 'times'): 2, ('bets', 'page'): 2, ('app', 'keeps'): 2, ('cash', 'option'): 2, ('come', 'william'): 2, ('ca', 'log'): 2, ('quite', 'slow'): 2, ('works', 'ok'): 2, ('poor', 'connection'): 2, ('ok', 'bit'): 2, ('easy', 'navigate'): 2, ('reinstall', 'app'): 2, ('cant', 'seem'): 2, ('app', 'good'): 2, ('sometimes', 'slow'): 2, ('app', 'working'): 2, ('grand', 'national'): 2, ('switch', 'decimal'): 2, ('crashes', 'lot'): 2, ('paddy', 'power'): 2, ('sorted', 'soon'): 1, ('getting', 'sorted'): 1}","{('come', 'william', 'hill'): 2, ('app', 'good', 'app'): 2, ('ok', 'bit', 'slow'): 2, ('crashing', 'entirely', 'needs'): 1, ('load', 'crashing', 'entirely'): 1, ('keeps', 'logging', 'read'): 1, ('logging', 'read', 'reviews'): 1, ('read', 'reviews', 'see'): 1, ('reviews', 'see', 'one'): 1, ('see', 'one', 'seems'): 1, ('one', 'seems', 'getting'): 1, ('seems', 'getting', 'sorted'): 1, ('getting', 'sorted', 'soon'): 1, ('sorted', 'soon', 'app'): 1, ('soon', 'app', 'prone'): 1, ('sorted', 'well', 'keeps'): 1, ('app', 'prone', 'freezing'): 1, ('prone', 'freezing', 'taking'): 1, ('freezing', 'taking', 'ages'): 1, ('taking', 'ages', 'load'): 1, ('entirely', 'needs', 'lot'): 1, ('ages', 'load', 'crashing'): 1, ('well', 'keeps', 'logging'): 1, ('iteration', 'app', 'much'): 1, ('time', 'use', 'going'): 1, ('coming', 'sorry', 'unavailable'): 1, ('going', 'fix', 'android'): 1, ('fix', 'android', 'phones'): 1, ('android', 'phones', 'u'): 1, ('phones', 'u', 'hit'): 1}"
0,williamhill,2018,4,"{'app': 62, 'good': 50, 'easy': 31, 'use': 23, 'better': 14, 'much': 11, 'works': 11, 'great': 11, 'like': 10, 'bets': 10, 'far': 10, 'little': 10, 'well': 9, 'navigate': 9, 'bad': 9, 'odds': 8, 'would': 8, 'betting': 7, 'bet': 7, 'sometimes': 7, 'ok': 7, 'get': 6, 'simple': 6, 'best': 6, 'nice': 6, 'using': 6, 'clear': 6, 'slow': 6, 'apps': 5, 'one': 5}","{('good', 'app'): 19, ('easy', 'use'): 13, ('app', 'easy'): 10, ('easy', 'navigate'): 8, ('good', 'good'): 6, ('much', 'better'): 6, ('great', 'app'): 6, ('far', 'good'): 5, ('betting', 'app'): 4, ('clear', 'easy'): 4, ('use', 'good'): 4, ('simple', 'easy'): 4, ('works', 'well'): 4, ('william', 'hill'): 3, ('pretty', 'good'): 3, ('years', 'good'): 2, ('get', 'bet'): 2, ('bad', 'little'): 2, ('little', 'app'): 2, ('easy', 'far'): 2, ('app', 'works'): 2, ('one', 'best'): 2, ('little', 'buggy'): 2, ('works', 'ok'): 2, ('good', 'far'): 2, ('placing', 'bets'): 2, ('app', 'would'): 2, ('overall', 'good'): 2, ('app', 'sometimes'): 2, ('good', 'odds'): 2}","{('app', 'easy', 'use'): 7, ('easy', 'use', 'good'): 3, ('good', 'app', 'easy'): 3, ('app', 'works', 'well'): 2, ('app', 'easy', 'navigate'): 2, ('bad', 'little', 'app'): 2, ('simple', 'easy', 'use'): 2, ('good', 'good', 'app'): 2, ('good', 'app', 'sometimes'): 2, ('far', 'good', 'good'): 2, ('betting', 'app', 'easy'): 2, ('much', 'better', 'navigation'): 2, ('clear', 'easy', 'use'): 2, ('best', 'betting', 'app'): 2, ('good', 'nice', 'good'): 2, ('app', 'cache', 'sometimes'): 1, ('offer', 'thought', 'easy'): 1, ('little', 'app', 'bad'): 1, ('app', 'bad', 'nice'): 1, ('bad', 'nice', 'simple'): 1, ('nice', 'simple', 'use'): 1, ('simple', 'use', 'far'): 1, ('use', 'far', 'good'): 1, ('good', 'good', 'world'): 1, ('good', 'world', 'cup'): 1, ('world', 'cup', 'offer'): 1, ('cup', 'offer', 'thought'): 1, ('thought', 'easy', 'set'): 1, ('far', 'good', 'bad'): 1, ('easy', 'set', 'good'): 1}"
0,williamhill,2018,5,"{'app': 201, 'good': 112, 'great': 108, 'easy': 97, 'use': 84, 'betting': 35, 'love': 33, 'brilliant': 28, 'bet': 25, 'best': 23, 'better': 20, 'free': 18, 'william': 18, 'hill': 18, 'bets': 18, 'far': 17, 'one': 15, 'excellent': 15, 'like': 14, 'odds': 13, 'quick': 13, 'offers': 12, 'well': 12, 'nice': 12, 'need': 11, 'site': 11, 'fantastic': 10, 'much': 10, 'works': 10, 'top': 9}","{('easy', 'use'): 68, ('great', 'app'): 60, ('good', 'app'): 37, ('app', 'easy'): 27, ('app', 'great'): 21, ('app', 'good'): 21, ('william', 'hill'): 17, ('betting', 'app'): 14, ('use', 'good'): 14, ('use', 'easy'): 11, ('use', 'great'): 11, ('good', 'good'): 9, ('brilliant', 'app'): 8, ('best', 'betting'): 7, ('app', 'love'): 7, ('love', 'good'): 6, ('easy', 'navigate'): 6, ('free', 'bets'): 6, ('much', 'better'): 6, ('app', 'far'): 5, ('good', 'easy'): 5, ('good', 'betting'): 5, ('great', 'good'): 5, ('app', 'use'): 5, ('user', 'friendly'): 5, ('betting', 'apps'): 5, ('works', 'well'): 5, ('brilliant', 'great'): 5, ('app', 'brilliant'): 4, ('far', 'good'): 4}","{('app', 'easy', 'use'): 18, ('app', 'great', 'app'): 15, ('easy', 'use', 'good'): 12, ('easy', 'use', 'great'): 10, ('great', 'app', 'easy'): 10, ('app', 'good', 'app'): 10, ('great', 'app', 'great'): 9, ('good', 'app', 'great'): 8, ('use', 'easy', 'use'): 8, ('easy', 'use', 'easy'): 8, ('good', 'app', 'easy'): 7, ('use', 'great', 'app'): 6, ('great', 'app', 'good'): 5, ('good', 'easy', 'use'): 4, ('good', 'good', 'app'): 4, ('best', 'betting', 'app'): 4, ('good', 'betting', 'app'): 4, ('easy', 'use', 'app'): 4, ('brilliant', 'app', 'good'): 4, ('easy', 'use', 'quick'): 3, ('easy', 'use', 'brilliant'): 3, ('app', 'brilliant', 'app'): 3, ('great', 'good', 'good'): 3, ('app', 'much', 'better'): 3, ('great', 'app', 'love'): 3, ('use', 'good', 'app'): 3, ('use', 'good', 'betting'): 3, ('great', 'easy', 'use'): 3, ('app', 'william', 'hill'): 3, ('one', 'better', 'betting'): 2}"
0,williamhill,2019,1,"{'app': 66, 'bet': 43, 'bets': 36, 'account': 28, 'get': 26, 'money': 24, 'one': 17, 'worst': 16, 'use': 15, 'time': 15, 'slow': 15, 'hill': 15, 'ca': 14, 'open': 14, 'william': 14, 'even': 14, 'games': 13, 'back': 13, 'cash': 13, 'dont': 13, 'keeps': 12, 'put': 11, 'betting': 11, 'never': 11, 'ever': 11, 'location': 11, 'poor': 10, 'useless': 10, 'would': 10, 'wo': 10}","{('william', 'hill'): 14, ('open', 'bets'): 7, ('close', 'account'): 5, ('app', 'ever'): 5, ('worst', 'app'): 5, ('even', 'though'): 4, ('terrible', 'app'): 4, ('keeps', 'saying'): 4, ('app', 'slow'): 4, ('place', 'bets'): 4, ('place', 'bet'): 3, ('find', 'location'): 3, ('trying', 'place'): 3, ('poor', 'app'): 3, ('scam', 'site'): 3, ('shots', 'target'): 3, ('waste', 'time'): 3, ('stay', 'away'): 3, ('every', 'time'): 3, ('missing', 'account'): 3, ('get', 'winnings'): 3, ('customer', 'service'): 3, ('placed', 'bet'): 3, ('ca', 'see'): 2, ('use', 'different'): 2, ('told', 'use'): 2, ('see', 'scores'): 2, ('past', 'post'): 2, ('server', 'issues'): 2, ('funds', 'went'): 2}","{('worst', 'app', 'ever'): 3, ('time', 'open', 'app'): 2, ('trying', 'place', 'bet'): 2, ('went', 'missing', 'account'): 2, ('hoops', 'get', 'winnings'): 2, ('funds', 'went', 'missing'): 2, ('asked', 'close', 'account'): 2, ('ap', 'difficult', 'use'): 1, ('buggy', 'ap', 'difficult'): 1, ('crashes', 'buggy', 'ap'): 1, ('difficult', 'use', 'built'): 1, ('slow', 'crashes', 'buggy'): 1, ('every', 'time', 'slow'): 1, ('location', 'every', 'time'): 1, ('find', 'location', 'every'): 1, ('unable', 'find', 'location'): 1, ('awful', 'unable', 'find'): 1, ('app', 'awful', 'unable'): 1, ('national', 'app', 'awful'): 1, ('grand', 'national', 'app'): 1, ('use', 'built', 'gambling'): 1, ('time', 'slow', 'crashes'): 1, ('app', 'soooooo', 'slow'): 1, ('built', 'gambling', 'addict'): 1, ('daft', 'quid', 'grand'): 1, ('gambler', 'daft', 'quid'): 1, ('big', 'gambler', 'daft'): 1, ('bet', 'big', 'gambler'): 1, ('less', 'bet', 'big'): 1, ('pay', 'less', 'bet'): 1}"
